CompanyId,CompanyName,ABN,AddressType,Address,Locale,Jurisdiction,Postcode,CompanyPhone,CompanyFax,LastUpdate
261,ACI International Pty Ltd,97006005929,Head Office,,Hawthorn,VI   ,3122,03 9236 2244        ,99 9999 9999        ,26/09/2018 19:30
150,Adelaide Brighton Cement Limited,96 007 870 199,Head Office,,Adelaide,SA   ,5000,08 8223 8000        ,08 8215 0030        ,26/09/2018 19:30
136,AETV Power,29 123 391 613,Head Office,,Hobart,TAS  ,7000,03 6230 5111        ,03 6230 5823        ,26/09/2018 19:30
236,AETV Power No 2,29 123 391 613,Head Office,,HOBART,TAS  ,7000,03 6237 2599        ,03 623 2590         ,26/09/2018 19:30
277,AGL Energy Limited,74 115 061 375,Head Office,,Sydney,NSW  ,2000,03 8633 6000        ,99 9999 9999        ,26/09/2018 19:30
189,AGL Gas Storage Pty Ltd,27009203463,Head Office,,Sydney,NSW  ,2000,02 9921 2195        ,,26/09/2018 19:30
42,AGL Sales (Queensland) Pty Limited,85 121 177 740,Head Office,,Docklands,VI   ,3008,07  3407 4000       ,07 3407 4609        ,26/09/2018 19:30
4,AGL Sales Pty Limited,88 090 538 337,Head Office,,Docklands,VI   ,3008,03 8633 6000        ,,26/09/2018 19:30
95,AGL Upstream Gas (MOS) N.L,56 003 329 084,Head Office,,Sydney,NSW  ,2000,,,26/09/2018 19:30
91,AGL Upstream Investments Pty Limited,58 115 063 744,Head Office,,Sydney,NSW  ,2000,02 9921 2429        ,02 4633 5201        ,26/09/2018 19:30
142,AGL Wholesale Gas (SA) Pty Ltd,13 094 384 291,Head Office,,Docklands,VI   ,3008,,,26/09/2018 19:30
151,AGL Wholesale Gas Limited,26 072 948 504,Head Office,,Sydney,NSW  ,2000,02 9921 2999        ,02 9921 2552        ,26/09/2018 19:30
192,Alinta Energy Retail Sales Pty Ltd,22 149 658 300,Head Office,,Sydney,NSW  ,2000,02 9372 2600        ,02 9372 2610        ,26/09/2018 19:30
146,APA Facilities Management Pty Ltd (OP),76 140 898 424,Head Office,,Dandenong,VI   ,3175,,,26/09/2018 19:30
147,APA Facilities Management Pty Ltd (TL),76 140 898 424,Head Office,,Dandenong,VI   ,3175,,,26/09/2018 19:30
14,APA GasNet Australia (Operations) P/L,65 083 009 278,Head Office,Level 19 HSBC Building 580 George St,Sydney,NSW  ,2000,,,26/09/2018 19:30
94,APA Group,21 858 175 226,Head Office,Level 19 HSBC Building 580 George St,Sydney,NSW  ,2000,,(02) 6382 4263      ,26/09/2018 19:30
273,Arrow (Daandine) Pty Ltd,99 114 927 481,Head Office,,Brisbane,QLD  ,4000,730124000,730124001,26/09/2018 19:30
278,Arrow (Southern Generation) Pty Ltd,51 128 813 490,Head Office,,Brisbane,QLD  ,4000,07 3012 4000        ,07 3012 4001        ,26/09/2018 19:30
275,Arrow (Tipton Two) Pty Ltd,36 117 853 755,Head Office,,Brisbane,QLD  ,4000,730124000,730124001,26/09/2018 19:30
272,Arrow (Tipton) Pty Ltd,17 114 927 507,Head Office,,Brisbane ,QLD  ,4000,730124000,730124001,26/09/2018 19:30
279,Arrow Braemar 2 Pty Ltd,63 127 500 949,Head Office,,Brisbane,QLD  ,4000,07 3012 4000        ,07 3012 4001        ,26/09/2018 19:30
274,Arrow CSG (Australia) Pty Ltd,54 054 260 650,Head Office,,Brisbane,QLD  ,4000,730124000,730124001,26/09/2018 19:30
101,Australia Pacific LNG Pty Limited,68 001 646 331,Head Office,,Sydney,NSW  ,2000,,,26/09/2018 19:30
