GasDate,FacilityName,FacilityId,ConnectionPointName,ConnectionPointId,ActualQuantity,FlowDirection,State,LocationName,LocationId,Quality
07/01/2020,Eastern Gas Pipeline,520047,Tallawarra,1202002,0,DELIVERY,NSW,Regional - NSW,590011,OK
07/01/2020,Eastern Gas Pipeline,520047,Horsley Park,1202003,79.046,DELIVERY,NSW,Sydney,520008,OK
07/01/2020,Eastern Gas Pipeline,520047,Smithfield,1202004,4.133,DELIVERY,NSW,Regional - NSW,590011,OK
07/01/2020,Eastern Gas Pipeline,520047,Cooma,1202009,0.07,DELIVERY,NSW,Regional - NSW,590011,OK
07/01/2020,Eastern Gas Pipeline,520047,Bomaderry,1202010,4.88,DELIVERY,NSW,Regional - NSW,590011,OK
07/01/2020,Eastern Gas Pipeline,520047,Bombala,1202011,0.017,DELIVERY,NSW,Regional - NSW,590011,OK
07/01/2020,Eastern Gas Pipeline,520047,Port Kembla,1202012,6.457,DELIVERY,NSW,Sydney,520008,OK
07/01/2020,Eastern Gas Pipeline,520047,Albion Park,1202013,2.299,DELIVERY,NSW,Sydney,520008,OK
07/01/2020,Eastern Gas Pipeline,520047,Wilton EGP,1202014,0,DELIVERY,NSW,Sydney,520008,OK
07/01/2020,Eastern Gas Pipeline,520047,Wilton MSP,1202015,0,DELIVERY,NSW,Regional - NSW,590011,OK
07/01/2020,Eastern Gas Pipeline,520047,Hoskinstown,1202016,4.167,DELIVERY,NSW,Canberra,520009,OK
07/01/2020,Eastern Gas Pipeline,520047,Nowra,1202017,0.17,DELIVERY,NSW,Regional - NSW,590011,OK
07/01/2020,Eastern Gas Pipeline,520047,Longford,1302000,150.003,RECEIPT,VIC,Longford Hub,530015,OK
07/01/2020,Eastern Gas Pipeline,520047,TGP,1302001,17.251,DELIVERY,VIC,Longford Hub,530015,OK
07/01/2020,Eastern Gas Pipeline,520047,VicHub - Delivery,1302005,22.846,DELIVERY,VIC,Longford Hub,530015,OK
07/01/2020,Eastern Gas Pipeline,520047,Bairnsdale,1302006,1.666,DELIVERY,VIC,Regional - VIC,590012,OK
07/01/2020,Eastern Gas Pipeline,520047,Bairnsdale City Gate,1302007,0.418,DELIVERY,VIC,Regional - VIC,590012,OK
07/01/2020,Eastern Gas Pipeline,520047,Orbost,1302008,0,RECEIPT,VIC,Regional - VIC,590012,OK
07/01/2020,Eastern Gas Pipeline,520047,EGP to Orbost,1390015,0,DELIVERY,VIC,Regional - VIC,590012,OK
08/01/2020,Eastern Gas Pipeline,520047,Tallawarra,1202002,0,DELIVERY,NSW,Regional - NSW,590011,OK
08/01/2020,Eastern Gas Pipeline,520047,Horsley Park,1202003,78.193,DELIVERY,NSW,Sydney,520008,OK
08/01/2020,Eastern Gas Pipeline,520047,Smithfield,1202004,4.279,DELIVERY,NSW,Regional - NSW,590011,OK
08/01/2020,Eastern Gas Pipeline,520047,Cooma,1202009,0.135,DELIVERY,NSW,Regional - NSW,590011,OK
08/01/2020,Eastern Gas Pipeline,520047,Bomaderry,1202010,4.495,DELIVERY,NSW,Regional - NSW,590011,OK
08/01/2020,Eastern Gas Pipeline,520047,Bombala,1202011,0.016,DELIVERY,NSW,Regional - NSW,590011,OK
08/01/2020,Eastern Gas Pipeline,520047,Port Kembla,1202012,6.763,DELIVERY,NSW,Sydney,520008,OK
08/01/2020,Eastern Gas Pipeline,520047,Albion Park,1202013,2.282,DELIVERY,NSW,Sydney,520008,OK
08/01/2020,Eastern Gas Pipeline,520047,Wilton EGP,1202014,0,DELIVERY,NSW,Sydney,520008,OK
08/01/2020,Eastern Gas Pipeline,520047,Wilton MSP,1202015,0,DELIVERY,NSW,Regional - NSW,590011,OK
08/01/2020,Eastern Gas Pipeline,520047,Hoskinstown,1202016,4.347,DELIVERY,NSW,Canberra,520009,OK
08/01/2020,Eastern Gas Pipeline,520047,Nowra,1202017,0.207,DELIVERY,NSW,Regional - NSW,590011,OK
08/01/2020,Eastern Gas Pipeline,520047,Longford,1302000,142.594,RECEIPT,VIC,Longford Hub,530015,OK
08/01/2020,Eastern Gas Pipeline,520047,TGP,1302001,18.545,DELIVERY,VIC,Longford Hub,530015,OK
08/01/2020,Eastern Gas Pipeline,520047,VicHub - Delivery,1302005,14.999,DELIVERY,VIC,Longford Hub,530015,OK
08/01/2020,Eastern Gas Pipeline,520047,Bairnsdale,1302006,1.363,DELIVERY,VIC,Regional - VIC,590012,OK
08/01/2020,Eastern Gas Pipeline,520047,Bairnsdale City Gate,1302007,0.455,DELIVERY,VIC,Regional - VIC,590012,OK
08/01/2020,Eastern Gas Pipeline,520047,Orbost,1302008,0,RECEIPT,VIC,Regional - VIC,590012,OK
08/01/2020,Eastern Gas Pipeline,520047,EGP to Orbost,1390015,0,DELIVERY,VIC,Regional - VIC,590012,OK
09/01/2020,Eastern Gas Pipeline,520047,Tallawarra,1202002,0,DELIVERY,NSW,Regional - NSW,590011,OK
09/01/2020,Eastern Gas Pipeline,520047,Horsley Park,1202003,74.225,DELIVERY,NSW,Sydney,520008,OK
09/01/2020,Eastern Gas Pipeline,520047,Smithfield,1202004,2.969,DELIVERY,NSW,Regional - NSW,590011,OK
09/01/2020,Eastern Gas Pipeline,520047,Cooma,1202009,0.126,DELIVERY,NSW,Regional - NSW,590011,OK
09/01/2020,Eastern Gas Pipeline,520047,Bomaderry,1202010,4.965,DELIVERY,NSW,Regional - NSW,590011,OK
09/01/2020,Eastern Gas Pipeline,520047,Bombala,1202011,0.018,DELIVERY,NSW,Regional - NSW,590011,OK
09/01/2020,Eastern Gas Pipeline,520047,Port Kembla,1202012,7.335,DELIVERY,NSW,Sydney,520008,OK
09/01/2020,Eastern Gas Pipeline,520047,Albion Park,1202013,2.314,DELIVERY,NSW,Sydney,520008,OK
09/01/2020,Eastern Gas Pipeline,520047,Wilton EGP,1202014,0,DELIVERY,NSW,Sydney,520008,OK
09/01/2020,Eastern Gas Pipeline,520047,Wilton MSP,1202015,5.017,DELIVERY,NSW,Regional - NSW,590011,OK
09/01/2020,Eastern Gas Pipeline,520047,Hoskinstown,1202016,4.418,DELIVERY,NSW,Canberra,520009,OK
09/01/2020,Eastern Gas Pipeline,520047,Nowra,1202017,0.202,DELIVERY,NSW,Regional - NSW,590011,OK
09/01/2020,Eastern Gas Pipeline,520047,Longford,1302000,151.474,RECEIPT,VIC,Longford Hub,530015,OK
09/01/2020,Eastern Gas Pipeline,520047,TGP,1302001,20.295,DELIVERY,VIC,Longford Hub,530015,OK
09/01/2020,Eastern Gas Pipeline,520047,VicHub - Delivery,1302005,29.385,DELIVERY,VIC,Longford Hub,530015,OK
09/01/2020,Eastern Gas Pipeline,520047,Bairnsdale,1302006,5.379,DELIVERY,VIC,Regional - VIC,590012,OK
09/01/2020,Eastern Gas Pipeline,520047,Bairnsdale City Gate,1302007,0.451,DELIVERY,VIC,Regional - VIC,590012,OK
09/01/2020,Eastern Gas Pipeline,520047,Orbost,1302008,0,RECEIPT,VIC,Regional - VIC,590012,OK
