FacilityName,FacilityId,FacilityType,GasDayStartHour,LowRange,HighRange,OperatorId,OperatorName,LastUpdated
APLNG Pipeline,540093,PIPE,6,10,120,101,Australia Pacific LNG Pty Limited,2015-10-26T08:05:19+11:00
Amadeus Gas Pipeline,580010,PIPE,6,0,0,94,APA Group,2019-03-29T08:16:49+11:00
Arcadia Compression Facility,540101,PROD,6,0,175,225,Santos Toga Pty Ltd,2017-04-19T10:52:41+10:00
Ballera Compression Facility,540047,COMPRESSOR,6,0,0,92,Santos Limited,2019-02-04T12:37:43+11:00
BassGas to Pakenham Pipeline,530030,PIPE,6,0,100,96,Beach Energy (Operations) Limited,2018-11-27T11:32:43+11:00
Bellevue,540083,PROD,6,20,120,106,QGC Pty Limited,2015-07-13T13:26:45+10:00
Berwyndale to Wallumbilla Pipeline,540096,PIPE,6,20,175,94,APA Group,2016-05-30T09:38:32+10:00
Bonaparte Gas Pipeline,580020,PIPE,6,0,0,94,APA Group,2019-03-29T08:17:08+11:00
Braemar 2 Pipeline (B2PL),540071,PIPE,6,0,0,279,Arrow Braemar 2 Pty Ltd,2018-10-19T13:17:39+11:00
Braemar Pipeline,540077,PIPE,6,0,0,110,Braemar Power Project Pty Ltd,2018-10-19T13:34:07+11:00
Camden CSM,520075,PROD,6,0,120,91,AGL Upstream Investments Pty Limited,2015-07-13T13:26:45+10:00
Carpentaria Pipeline,540059,PIPE,6,20,120,94,APA Group,2015-07-13T13:26:45+10:00
Central West Pipeline (CWP),520054,PIPE,6,0,13,94,APA Group,2018-05-01T00:00:00+10:00
Colongra Gas Pipeline,520090,PIPE,6,0,0,282,Jemena Colongra Pty Ltd,2019-03-29T12:03:20+11:00
Combabula,540094,PROD,6,6,125,101,Australia Pacific LNG Pty Limited,2015-09-03T15:38:05+10:00
Comet Ridge to Wallumbilla Pipeline,540098,PIPE,6,0,125,222,GLNG Operations Pty Ltd,2016-05-30T09:40:50+10:00
Condabri Central,540080,PROD,6,0,120,101,Australia Pacific LNG Pty Limited,2015-07-13T13:26:45+10:00
Condabri North,540090,PROD,6,0,120,101,Australia Pacific LNG Pty Limited,2015-07-13T13:26:45+10:00
Condabri South,540086,PROD,6,0,120,101,Australia Pacific LNG Pty Limited,2015-07-13T13:26:45+10:00
Daandine CGPF,540050,PROD,6,0,0,274,Arrow CSG (Australia) Pty Ltd,2018-10-19T13:30:33+11:00
Darling Downs Pipeline,540097,PIPE,6,0,200,254,Jemena Darling Downs Pipeline (3) P/L,2016-05-30T09:39:42+10:00
E04 Pipeline,540055,PIPE,6,0,0,106,QGC Pty Limited,2018-10-19T13:17:09+11:00
Eastern Gas Pipeline,520047,PIPE,6,20,120,138,Jemena Eastern Gas Pipeline (1) Pty Ltd,2015-07-13T13:26:45+10:00
Eurombah Creek,540089,PROD,6,0,120,101,Australia Pacific LNG Pty Limited,2015-07-13T13:26:45+10:00
Fairview,540070,PROD,6,0,120,225,Santos Toga Pty Ltd,2015-07-13T13:26:45+10:00
GLNG Gas Transmission Pipeline,540092,PIPE,6,0,150,222,GLNG Operations Pty Ltd,2015-10-26T08:07:36+11:00
Iona Compression Facility,530071,COMPRESSOR,6,0,0,38,Lochard Energy (Iona Operations) Pty Ltd,2019-02-04T12:38:36+11:00
Iona Underground Gas Storage,530042,STOR,6,0,120,38,Lochard Energy (Iona Operations) Pty Ltd,2015-07-13T13:26:45+10:00
Jordan,540088,PROD,6,20,120,106,QGC Pty Limited,2015-07-13T13:26:45+10:00
Kenya Gas Plant,540075,PROD,6,20,120,106,QGC Pty Limited,2015-07-13T13:26:45+10:00
Kincora Gas Plant,544253,PROD,6,0,0,284,Armour Energy (Surat Basin) Pty Limited,2019-08-29T14:58:54+10:00
Kogan North,540061,PROD,6,0,120,94,APA Group,2015-07-13T13:26:45+10:00
LNG Storage Dandenong,530038,STOR,6,0,150,94,APA Group,2015-07-13T13:26:45+10:00
